Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-50	query hasa	1	50	162	14275	4.71	221597696.0	221597696.0
case-50	query hasa	2	50	162	14275	4.23	221483008.0	221483008.0
case-50	query hasa	3	50	162	14275	4.09	221368320.0	221368320.0
case-50	query hasa	4	50	162	14275	4.06	222019584.0	222019584.0
case-50	query hasa	5	50	162	14275	4.04	221372416.0	221372416.0
case-50	query hasa	6	50	162	14275	4.2	221712384.0	221712384.0
case-50	query hasa	7	50	162	14275	4.23	221585408.0	221585408.0
case-50	query hasa	8	50	162	14275	4.41	221827072.0	221827072.0
case-50	query hasa	9	50	162	14275	4.29	222060544.0	222060544.0
case-50	query hasa	10	50	162	14275	4.27	221024256.0	221024256.0
case-50	query isa	1	50	162	14275	4.5600000000000005	219021312.0	219021312.0
case-50	query isa	2	50	162	14275	4.23	220073984.0	220073984.0
case-50	query isa	3	50	162	14275	4.54	219525120.0	219525120.0
case-50	query isa	4	50	162	14275	3.87	219070464.0	219070464.0
case-50	query isa	5	50	162	14275	4.3	219496448.0	219496448.0
case-50	query isa	6	50	162	14275	4.37	219127808.0	219127808.0
case-50	query isa	7	50	162	14275	4.48	219299840.0	219299840.0
case-50	query isa	8	50	162	14275	4.58	219013120.0	219013120.0
case-50	query isa	9	50	162	14275	4.41	218931200.0	218931200.0
case-50	query isa	10	50	162	14275	4.66	219779072.0	219779072.0
case-50	query --summary	1	50	162	14275	4.16	216035328.0	216035328.0
case-50	query --summary	2	50	162	14275	4.52	215511040.0	215511040.0
case-50	query --summary	3	50	162	14275	4.23	215670784.0	215670784.0
case-50	query --summary	4	50	162	14275	4.19	215666688.0	215666688.0
case-50	query --summary	5	50	162	14275	4.35	215719936.0	215719936.0
case-50	query --summary	6	50	162	14275	4.39	215547904.0	215547904.0
case-50	query --summary	7	50	162	14275	4.25	215302144.0	215302144.0
case-50	query --summary	8	50	162	14275	4.24	215547904.0	215547904.0
case-50	query --summary	9	50	162	14275	4.07	215789568.0	215789568.0
case-50	query --summary	10	50	162	14275	3.77	215826432.0	215826432.0
case-50	query --features-summary	1	50	162	14275	2.68	216281088.0	216281088.0
case-50	query --features-summary	2	50	162	14275	2.6	215220224.0	215220224.0
case-50	query --features-summary	3	50	162	14275	2.84	216059904.0	216059904.0
case-50	query --features-summary	4	50	162	14275	2.91	215547904.0	215547904.0
case-50	query --features-summary	5	50	162	14275	2.88	215674880.0	215674880.0
case-50	query --features-summary	6	50	162	14275	2.89	215314432.0	215314432.0
case-50	query --features-summary	7	50	162	14275	2.67	215310336.0	215310336.0
case-50	query --features-summary	8	50	162	14275	2.81	215535616.0	215535616.0
case-50	query --features-summary	9	50	162	14275	2.74	215412736.0	215412736.0
case-50	query --features-summary	10	50	162	14275	2.83	215760896.0	215760896.0
case-50	list samples	1	50	162	14275	3.79	218374144.0	218374144.0
case-50	list samples	2	50	162	14275	4.07	218804224.0	218804224.0
case-50	list samples	3	50	162	14275	4.18	218746880.0	218746880.0
case-50	list samples	4	50	162	14275	4.53	218460160.0	218460160.0
case-50	list samples	5	50	162	14275	4.44	218906624.0	218906624.0
case-50	list samples	6	50	162	14275	4.35	218456064.0	218456064.0
case-50	list samples	7	50	162	14275	3.89	218914816.0	218914816.0
case-50	list samples	8	50	162	14275	4.38	218517504.0	218517504.0
case-50	list samples	9	50	162	14275	4.16	218464256.0	218464256.0
case-50	list samples	10	50	162	14275	4.14	218193920.0	218193920.0
case-50	query isin	1	50	162	14275	4.03	219459584.0	219459584.0
case-50	query isin	2	50	162	14275	4.51	219705344.0	219705344.0
case-50	query isin	3	50	162	14275	4.05	219287552.0	219287552.0
case-50	query isin	4	50	162	14275	4.35	219713536.0	219713536.0
case-50	query isin	5	50	162	14275	4.32	219602944.0	219602944.0
case-50	query isin	6	50	162	14275	4.27	220127232.0	220127232.0
case-50	query isin	7	50	162	14275	3.99	220237824.0	220237824.0
case-50	query isin	8	50	162	14275	4.36	219205632.0	219205632.0
case-50	query isin	9	50	162	14275	4.63	219914240.0	219914240.0
case-50	query isin	10	50	162	14275	4.22	219807744.0	219807744.0
