Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-20000-batch-10000	q AND r	20000	15806	45709	10000	10	2.5520017370581627e-05
case-20000-batch-10000	q.toframe	20000	15806	45709	1	1	0.20769619196653366
case-20000-batch-10000	q.toframe	20000	15806	45709	1	2	0.20705793984234333
case-20000-batch-10000	q.toframe	20000	15806	45709	1	3	0.20803345553576946
case-20000-batch-10000	q.toframe	20000	15806	45709	1	4	0.20732195861637592
case-20000-batch-10000	q.toframe	20000	15806	45709	1	5	0.20684439688920975
case-20000-batch-10000	q.toframe	20000	15806	45709	1	6	0.20726513303816319
case-20000-batch-10000	q.toframe	20000	15806	45709	1	7	0.20805884711444378
case-20000-batch-10000	q.toframe	20000	15806	45709	1	8	0.20711530186235905
case-20000-batch-10000	q.toframe	20000	15806	45709	1	9	0.20708055794239044
case-20000-batch-10000	q.toframe	20000	15806	45709	1	10	0.2073837872594595
case-20000-batch-10000	q.summary	20000	15806	45709	500	1	0.0003938717283308506
case-20000-batch-10000	q.summary	20000	15806	45709	500	2	0.00039645835012197496
case-20000-batch-10000	q.summary	20000	15806	45709	500	3	0.00040874287113547324
case-20000-batch-10000	q.summary	20000	15806	45709	500	4	0.00040097589045763013
case-20000-batch-10000	q.summary	20000	15806	45709	500	5	0.00037254703044891356
case-20000-batch-10000	q.summary	20000	15806	45709	500	6	0.0003741646856069565
case-20000-batch-10000	q.summary	20000	15806	45709	500	7	0.0003718082718551159
case-20000-batch-10000	q.summary	20000	15806	45709	500	8	0.00037143423408269883
case-20000-batch-10000	q.summary	20000	15806	45709	500	9	0.00037086409702897073
case-20000-batch-10000	q.summary	20000	15806	45709	500	10	0.0003779309019446373
