Name	Iteration	Number samples	Number features (all)	Number features (no unknown)	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
case-20000-batch-10000	1	20000	45667	15764	32	29903	7741.0	2238889984.0	1906708480.0	7291875328.0	1172.74	45854769152.0	6679871488.0	365420544.0				8913.74	45854769152.0
case-20000-batch-10000	2	20000	45667	15764	32	29903	7800.0	2201350144.0	1907503104.0	7292157952.0	1157.27	46235652096.0	6681870336.0	365502464.0				8957.27	46235652096.0
case-20000-batch-10000	3	20000	45667	15764	32	29903	7685.0	2195877888.0	1907732480.0	7292747776.0	1166.51	45326557184.0	6648745984.0	365387776.0				8851.51	45326557184.0
