Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-20000-batch-10000	q.toframe	20000	15806	45709	1	1	0.20805046893656254
case-20000-batch-10000	q.toframe	20000	15806	45709	1	2	0.20882495120167732
case-20000-batch-10000	q.toframe	20000	15806	45709	1	3	0.20683689042925835
case-20000-batch-10000	q.toframe	20000	15806	45709	1	4	0.20861385948956013
case-20000-batch-10000	q.toframe	20000	15806	45709	1	5	0.20814177580177784
case-20000-batch-10000	q.toframe	20000	15806	45709	1	6	0.20805267803370953
case-20000-batch-10000	q.toframe	20000	15806	45709	1	7	0.20971220172941685
case-20000-batch-10000	q.toframe	20000	15806	45709	1	8	0.2086371723562479
case-20000-batch-10000	q.toframe	20000	15806	45709	1	9	0.21018455550074577
case-20000-batch-10000	q.toframe	20000	15806	45709	1	10	0.2089040633291006
case-20000-batch-10000	q.summary	20000	15806	45709	1000	1	0.000363134765997529
case-20000-batch-10000	q.summary	20000	15806	45709	1000	2	0.00036319487914443017
case-20000-batch-10000	q.summary	20000	15806	45709	1000	3	0.0003657082859426737
case-20000-batch-10000	q.summary	20000	15806	45709	1000	4	0.00036331361159682276
case-20000-batch-10000	q.summary	20000	15806	45709	1000	5	0.0003630883172154427
case-20000-batch-10000	q.summary	20000	15806	45709	1000	6	0.0003692502211779356
case-20000-batch-10000	q.summary	20000	15806	45709	1000	7	0.00036068972758948804
case-20000-batch-10000	q.summary	20000	15806	45709	1000	8	0.0003432425297796726
case-20000-batch-10000	q.summary	20000	15806	45709	1000	9	0.0003423881605267525
case-20000-batch-10000	q.summary	20000	15806	45709	1000	10	0.0003520390670746565
