Name	Kind	Iteration	Number samples	Number features	Runtime	Memory (max)	Mmemory (max/process)
cov-30 (reads)	query	1	59	816	2.76	219766784.0	219766784.0
cov-30 (reads)	query	2	59	816	2.82	219516928.0	219516928.0
cov-30 (reads)	query	3	59	816	2.69	220184576.0	220184576.0
cov-30 (reads)	query	4	59	816	2.7199999999999998	219467776.0	219467776.0
cov-30 (reads)	query	5	59	816	2.7800000000000002	219602944.0	219602944.0
cov-30 (reads)	query	6	59	816	2.58	219553792.0	219553792.0
cov-30 (reads)	query	7	59	816	2.73	219795456.0	219795456.0
cov-30 (reads)	query	8	59	816	2.71	219811840.0	219811840.0
cov-30 (reads)	query	9	59	816	2.71	219529216.0	219529216.0
cov-30 (reads)	query	10	59	816	2.74	219906048.0	219906048.0
cov-30 (reads)	query summary	1	59	816	2.73	219656192.0	219656192.0
cov-30 (reads)	query summary	2	59	816	2.52	219402240.0	219402240.0
cov-30 (reads)	query summary	3	59	816	2.74	219406336.0	219406336.0
cov-30 (reads)	query summary	4	59	816	2.85	219717632.0	219717632.0
cov-30 (reads)	query summary	5	59	816	2.59	220065792.0	220065792.0
cov-30 (reads)	query summary	6	59	816	2.73	219672576.0	219672576.0
cov-30 (reads)	query summary	7	59	816	2.69	219684864.0	219684864.0
cov-30 (reads)	query summary	8	59	816	2.54	219590656.0	219590656.0
cov-30 (reads)	query summary	9	59	816	2.7800000000000002	219545600.0	219545600.0
cov-30 (reads)	query summary	10	59	816	2.76	219713536.0	219713536.0
cov-30 (reads)	list samples	1	59	816	2.61	218431488.0	218431488.0
cov-30 (reads)	list samples	2	59	816	2.76	218783744.0	218783744.0
cov-30 (reads)	list samples	3	59	816	2.74	218959872.0	218959872.0
cov-30 (reads)	list samples	4	59	816	2.69	218808320.0	218808320.0
cov-30 (reads)	list samples	5	59	816	2.7199999999999998	219082752.0	219082752.0
cov-30 (reads)	list samples	6	59	816	2.7800000000000002	219123712.0	219123712.0
cov-30 (reads)	list samples	7	59	816	2.73	218501120.0	218501120.0
cov-30 (reads)	list samples	8	59	816	2.65	218361856.0	218361856.0
cov-30 (reads)	list samples	9	59	816	2.8	218632192.0	218632192.0
cov-30 (reads)	list samples	10	59	816	2.57	218578944.0	218578944.0
