Name	Iteration	Number samples	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
cov-30 reads	1	59	32	10834	101.77	2779406336.0	388820992.0	3270443008.0	5.8100000000000005	5779202048.0	258723840.0	1429504.0	88.32	250105856.0	223522816.0	195.89999999999998	5779202048.0
cov-30 reads	2	59	32	10834	98.97	2715463680.0	387792896.0	3270451200.0	6.29	5793722368.0	258818048.0	1429504.0	114.25	250454016.0	223887360.0	219.51	5793722368.0
cov-30 reads	3	59	32	10834	99.02	2723135488.0	385204224.0	3270430720.0	5.97	5780049920.0	259440640.0	1433600.0	84.12	250601472.0	224215040.0	189.11	5780049920.0
