Name	Kind	Number samples	Number features	Number executions	Iteration	Time
cov-30 (reads)	q.isin (mrca)	59	1915	500	8	0.0006625318843871355
cov-30 (reads)	q.isin (mrca)	59	1915	500	9	0.0006641933992505073
cov-30 (reads)	q.isin (mrca)	59	1915	500	10	0.0006666446756571531
cov-30 (reads)	q AND r	59	1915	20000	1	1.9452952267602086e-05
cov-30 (reads)	q AND r	59	1915	20000	2	1.9466274417936802e-05
cov-30 (reads)	q AND r	59	1915	20000	3	1.949586123228073e-05
cov-30 (reads)	q AND r	59	1915	20000	4	1.9501986633986233e-05
cov-30 (reads)	q AND r	59	1915	20000	5	1.9489393290132286e-05
cov-30 (reads)	q AND r	59	1915	20000	6	1.971182646229863e-05
cov-30 (reads)	q AND r	59	1915	20000	7	1.980419750325382e-05
cov-30 (reads)	q AND r	59	1915	20000	8	1.9692959589883686e-05
cov-30 (reads)	q AND r	59	1915	20000	9	1.968292803503573e-05
cov-30 (reads)	q AND r	59	1915	20000	10	1.9631797168403864e-05
cov-30 (reads)	q.toframe	59	1915	100	1	0.0033258254081010817
cov-30 (reads)	q.toframe	59	1915	100	2	0.0033475615829229354
cov-30 (reads)	q.toframe	59	1915	100	3	0.003311960007995367
cov-30 (reads)	q.toframe	59	1915	100	4	0.00331732208840549
cov-30 (reads)	q.toframe	59	1915	100	5	0.003308549514040351
cov-30 (reads)	q.toframe	59	1915	100	6	0.003309079837054014
cov-30 (reads)	q.toframe	59	1915	100	7	0.003295361502096057
cov-30 (reads)	q.toframe	59	1915	100	8	0.0032729789521545173
cov-30 (reads)	q.toframe	59	1915	100	9	0.0032674174010753633
cov-30 (reads)	q.toframe	59	1915	100	10	0.0032772944308817387
cov-30 (reads)	q.summary	59	1915	1000	1	0.00035818483866751195
cov-30 (reads)	q.summary	59	1915	1000	2	0.00037466213945299386
cov-30 (reads)	q.summary	59	1915	1000	3	0.00035883908439427614
cov-30 (reads)	q.summary	59	1915	1000	4	0.0003437504433095455
cov-30 (reads)	q.summary	59	1915	1000	5	0.0003440279588103294
cov-30 (reads)	q.summary	59	1915	1000	6	0.0003651403225958347
cov-30 (reads)	q.summary	59	1915	1000	7	0.00034221151564270256
cov-30 (reads)	q.summary	59	1915	1000	8	0.0003431797670200467
cov-30 (reads)	q.summary	59	1915	1000	9	0.0003692777529358864
cov-30 (reads)	q.summary	59	1915	1000	10	0.00036050467938184737
