Name	True Positives	True Negatives	False Positives	False Negatives	Sensitivity	Specificity	Precision	F1 Score
cov-5 reads	415		19	16517	0.024509803921568627	~1 (not calculated)	0.956221198156682	0.04779454105723828
cov-5 assemblies	16762		0	170	0.9899598393574297	~1 (not calculated)	1.0	0.9949545913218971
