Name	Iteration	Number samples	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
cov-5 reads	1	59	32	10834	99.42	2784722944.0	389959680.0	3249123328.0	20.07	6017671168.0	805515264.0	2166784.0	92.15	287158272.0	223989760.0	211.64000000000001	6017671168.0
cov-5 reads	2	59	32	10834	100.97	2802765824.0	395599872.0	3249127424.0	20.34	6014717952.0	816881664.0	2170880.0	120.26	286437376.0	223916032.0	241.57	6014717952.0
cov-5 reads	3	59	32	10834	96.93	2783080448.0	397373440.0	3249119232.0	20.95	6013091840.0	811298816.0	2158592.0	94.43	285200384.0	223801344.0	212.31	6013091840.0
