Name	Iteration	Number samples	Number features (all)	Number features (no unknown)	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
alpha-10-cov-30 reads	1	59	21411	1712	32	19699	104.93	2605109248.0	389206016.0	3260735488.0	40.66	6219272192.0	1286152192.0	3801088.0	6.08	233443328.0	222969856.0	151.67000000000002	6219272192.0
alpha-10-cov-30 reads	2	59	21411	1712	32	19699	103.48	2547265536.0	391892992.0	3260739584.0	37.98	6202515456.0	1292820480.0	3817472.0	5.96	234033152.0	223555584.0	147.42000000000002	6202515456.0
alpha-10-cov-30 reads	3	59	21411	1712	32	19699	104.67	2740510720.0	398094336.0	3260747776.0	38.6	6177865728.0	1292533760.0	3809280.0	5.78	233209856.0	222777344.0	149.05	6177865728.0
