Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-10000	query hasa	1	10000	9186	39089	3.27	240803840.0	240803840.0
case-10000	query hasa	2	10000	9186	39089	3.27	240762880.0	240762880.0
case-10000	query hasa	3	10000	9186	39089	3.5	240386048.0	240386048.0
case-10000	query hasa	4	10000	9186	39089	3.34	241074176.0	241074176.0
case-10000	query hasa	5	10000	9186	39089	3.33	240541696.0	240541696.0
case-10000	query hasa	6	10000	9186	39089	3.13	239951872.0	239951872.0
case-10000	query hasa	7	10000	9186	39089	3.21	240373760.0	240373760.0
case-10000	query hasa	8	10000	9186	39089	3.15	240173056.0	240173056.0
case-10000	query hasa	9	10000	9186	39089	3.12	240824320.0	240824320.0
case-10000	query hasa	10	10000	9186	39089	3.07	240685056.0	240685056.0
case-10000	query isa	1	10000	9186	39089	2.96	222838784.0	222838784.0
case-10000	query isa	2	10000	9186	39089	2.85	222998528.0	222998528.0
case-10000	query isa	3	10000	9186	39089	2.9699999999999998	222412800.0	222412800.0
case-10000	query isa	4	10000	9186	39089	2.81	222556160.0	222556160.0
case-10000	query isa	5	10000	9186	39089	2.89	222982144.0	222982144.0
case-10000	query isa	6	10000	9186	39089	2.86	222695424.0	222695424.0
case-10000	query isa	7	10000	9186	39089	2.83	222277632.0	222277632.0
case-10000	query isa	8	10000	9186	39089	2.7	222265344.0	222265344.0
case-10000	query isa	9	10000	9186	39089	2.88	222855168.0	222855168.0
case-10000	query isa	10	10000	9186	39089	3.04	222072832.0	222072832.0
case-10000	query --summary	1	10000	9186	39089	2.88	224104448.0	224104448.0
case-10000	query --summary	2	10000	9186	39089	3.01	223690752.0	223690752.0
case-10000	query --summary	3	10000	9186	39089	3.11	223920128.0	223920128.0
case-10000	query --summary	4	10000	9186	39089	3.05	224215040.0	224215040.0
case-10000	query --summary	5	10000	9186	39089	2.96	224301056.0	224301056.0
case-10000	query --summary	6	10000	9186	39089	3.08	224145408.0	224145408.0
case-10000	query --summary	7	10000	9186	39089	3.05	224169984.0	224169984.0
case-10000	query --summary	8	10000	9186	39089	3.09	224153600.0	224153600.0
case-10000	query --summary	9	10000	9186	39089	3.09	223895552.0	223895552.0
case-10000	query --summary	10	10000	9186	39089	3.09	224227328.0	224227328.0
case-10000	query --features-summary	1	10000	9186	39089	3.93	273002496.0	273002496.0
case-10000	query --features-summary	2	10000	9186	39089	4.14	272625664.0	272625664.0
case-10000	query --features-summary	3	10000	9186	39089	4.39	273436672.0	273436672.0
case-10000	query --features-summary	4	10000	9186	39089	4.18	272809984.0	272809984.0
case-10000	query --features-summary	5	10000	9186	39089	4.15	273166336.0	273166336.0
case-10000	query --features-summary	6	10000	9186	39089	4.27	273362944.0	273362944.0
case-10000	query --features-summary	7	10000	9186	39089	4.22	273559552.0	273559552.0
case-10000	query --features-summary	8	10000	9186	39089	4.36	273793024.0	273793024.0
case-10000	query --features-summary	9	10000	9186	39089	3.85	273166336.0	273166336.0
case-10000	query --features-summary	10	10000	9186	39089	4.03	273666048.0	273666048.0
case-10000	list samples	1	10000	9186	39089	2.9	233787392.0	233787392.0
case-10000	list samples	2	10000	9186	39089	3.11	232402944.0	232402944.0
case-10000	list samples	3	10000	9186	39089	2.87	233746432.0	233746432.0
case-10000	list samples	4	10000	9186	39089	3.19	233267200.0	233267200.0
case-10000	list samples	5	10000	9186	39089	3.08	233721856.0	233721856.0
case-10000	list samples	6	10000	9186	39089	3.14	233594880.0	233594880.0
case-10000	list samples	7	10000	9186	39089	3.1	233910272.0	233910272.0
case-10000	list samples	8	10000	9186	39089	3.02	233504768.0	233504768.0
case-10000	list samples	9	10000	9186	39089	3.04	234041344.0	234041344.0
case-10000	list samples	10	10000	9186	39089	3.09	233721856.0	233721856.0
