Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-10000	db.samples_query	10000	9186	39089	20	1	0.011801263969391584
case-10000	db.samples_query	10000	9186	39089	20	2	0.011808135360479356
case-10000	db.samples_query	10000	9186	39089	20	3	0.011791087873280048
case-10000	db.samples_query	10000	9186	39089	20	4	0.012130301631987094
case-10000	db.samples_query	10000	9186	39089	20	5	0.01180204153060913
case-10000	db.samples_query	10000	9186	39089	20	6	0.01181608410552144
case-10000	db.samples_query	10000	9186	39089	20	7	0.011812046077102423
case-10000	db.samples_query	10000	9186	39089	20	8	0.011786970309913158
case-10000	db.samples_query	10000	9186	39089	20	9	0.011858664453029633
case-10000	db.samples_query	10000	9186	39089	20	10	0.011811513453722
case-10000	q.join	10000	9186	39089	1	1	0.3692249171435833
case-10000	q.join	10000	9186	39089	1	2	0.366877056658268
case-10000	q.join	10000	9186	39089	1	3	0.3664799742400646
case-10000	q.join	10000	9186	39089	1	4	0.36607558093965054
case-10000	q.join	10000	9186	39089	1	5	0.3666554819792509
case-10000	q.join	10000	9186	39089	1	6	0.368068503215909
case-10000	q.join	10000	9186	39089	1	7	0.36624457500874996
case-10000	q.join	10000	9186	39089	1	8	0.3694362994283438
case-10000	q.join	10000	9186	39089	1	9	0.36693638004362583
case-10000	q.join	10000	9186	39089	1	10	0.36592357605695724
case-10000	q.features_summary	10000	9186	39089	1	1	0.7480476591736078
case-10000	q.features_summary	10000	9186	39089	1	2	0.7480158153921366
case-10000	q.features_summary	10000	9186	39089	1	3	0.7463957630097866
case-10000	q.features_summary	10000	9186	39089	1	4	0.7428900804370642
case-10000	q.features_summary	10000	9186	39089	1	5	0.7438982892781496
case-10000	q.features_summary	10000	9186	39089	1	6	0.7446832526475191
case-10000	q.features_summary	10000	9186	39089	1	7	0.74430076405406
case-10000	q.features_summary	10000	9186	39089	1	8	0.7415500376373529
case-10000	q.features_summary	10000	9186	39089	1	9	0.7430656682699919
case-10000	q.features_summary	10000	9186	39089	1	10	0.7421724889427423
case-10000	q.features_comparison	10000	9186	39089	1	1	16.709628399461508
case-10000	q.features_comparison	10000	9186	39089	1	2	16.639175547286868
case-10000	q.features_comparison	10000	9186	39089	1	3	16.61147896386683
case-10000	q.features_comparison	10000	9186	39089	1	4	16.724385175853968
case-10000	q.features_comparison	10000	9186	39089	1	5	16.570741979405284
case-10000	q.features_comparison	10000	9186	39089	1	6	16.6058748960495
case-10000	q.features_comparison	10000	9186	39089	1	7	16.793100882321596
case-10000	q.features_comparison	10000	9186	39089	1	8	16.621989354491234
case-10000	q.features_comparison	10000	9186	39089	1	9	16.705010399222374
case-10000	q.features_comparison	10000	9186	39089	1	10	16.579206090420485
case-10000	q.hasa	10000	9186	39089	2	1	0.1308469232171774
case-10000	q.hasa	10000	9186	39089	2	2	0.13081218488514423
case-10000	q.hasa	10000	9186	39089	2	3	0.13124166801571846
case-10000	q.hasa	10000	9186	39089	2	4	0.1308474252000451
case-10000	q.hasa	10000	9186	39089	2	5	0.13068741280585527
case-10000	q.hasa	10000	9186	39089	2	6	0.1306234523653984
case-10000	q.hasa	10000	9186	39089	2	7	0.13175084348767996
case-10000	q.hasa	10000	9186	39089	2	8	0.13103858660906553
case-10000	q.hasa	10000	9186	39089	2	9	0.13061390351504087
case-10000	q.hasa	10000	9186	39089	2	10	0.13079203385859728
case-10000	q.isa	10000	9186	39089	500	1	0.0008673332370817661
case-10000	q.isa	10000	9186	39089	500	2	0.0008682123459875584
case-10000	q.isa	10000	9186	39089	500	3	0.0008742421008646488
case-10000	q.isa	10000	9186	39089	500	4	0.0008710334002971649
case-10000	q.isa	10000	9186	39089	500	5	0.0008663051463663578
case-10000	q.isa	10000	9186	39089	500	6	0.000865860965102911
case-10000	q.isa	10000	9186	39089	500	7	0.0008668754585087299
case-10000	q.isa	10000	9186	39089	500	8	0.000872450839728117
case-10000	q.isa	10000	9186	39089	500	9	0.0008690808527171611
case-10000	q.isa	10000	9186	39089	500	10	0.000868675421923399
case-10000	q AND r	10000	9186	39089	10000	1	3.093378972262144e-05
case-10000	q AND r	10000	9186	39089	10000	2	3.094467576593161e-05
case-10000	q AND r	10000	9186	39089	10000	3	3.0943200550973416e-05
case-10000	q AND r	10000	9186	39089	10000	4	3.0919775925576686e-05
case-10000	q AND r	10000	9186	39089	10000	5	3.087446261197329e-05
case-10000	q AND r	10000	9186	39089	10000	6	3.1105606257915494e-05
case-10000	q AND r	10000	9186	39089	10000	7	3.0737795867025854e-05
case-10000	q AND r	10000	9186	39089	10000	8	3.0933013185858726e-05
case-10000	q AND r	10000	9186	39089	10000	9	3.083369061350822e-05
case-10000	q AND r	10000	9186	39089	10000	10	3.082190491259098e-05
case-10000	q.toframe	10000	9186	39089	2	1	0.10263802949339151
case-10000	q.toframe	10000	9186	39089	2	2	0.10222956351935863
case-10000	q.toframe	10000	9186	39089	2	3	0.1024132464081049
case-10000	q.toframe	10000	9186	39089	2	4	0.10218123346567154
case-10000	q.toframe	10000	9186	39089	2	5	0.10266978479921818
case-10000	q.toframe	10000	9186	39089	2	6	0.10227515548467636
case-10000	q.toframe	10000	9186	39089	2	7	0.10270956251770258
case-10000	q.toframe	10000	9186	39089	2	8	0.10245452355593443
case-10000	q.toframe	10000	9186	39089	2	9	0.1023274315521121
case-10000	q.toframe	10000	9186	39089	2	10	0.10248216241598129
case-10000	q.summary	10000	9186	39089	1000	1	0.00033812960051000116
case-10000	q.summary	10000	9186	39089	1000	2	0.0003384439907968044
