Name	Iteration	Number samples	Number features (all)	Number features (no unknown)	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
cov-20 reads	1	59	9648	1290	32	19699	103.02	2801184768.0	389570560.0	3280613376.0	10.11	6188879872.0	306163712.0	2551808.0	107.76	281575424.0	223248384.0	220.89	6188879872.0
cov-20 reads	2	59	9648	1290	32	19699	105.22	2807193600.0	394289152.0	3280617472.0	9.33	5832798208.0	306806784.0	2555904.0	103.36	280387584.0	223059968.0	217.91	5832798208.0
cov-20 reads	3	59	9648	1290	32	19699	101.48	2729709568.0	389488640.0	3280609280.0	9.41	5815361536.0	306188288.0	2555904.0	99.85	280608768.0	222904320.0	210.74	5815361536.0
