Name	Iteration	Number samples	Number features (all)	Number features (no unknown)	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
case-10	1	10	2900	44	32	29903	139.78	1429692416.0	377692160.0	3451580416.0	4.87	5391446016.0	234856448.0	761856.0	92.58	249139200.0	219570176.0	237.23000000000002	5391446016.0
case-10	2	10	2900	44	32	29903	138.5	1448071168.0	368533504.0	3451580416.0	4.6899999999999995	5393735680.0	235270144.0	757760.0	82.7	249458688.0	220327936.0	225.89	5393735680.0
case-10	3	10	2900	44	32	29903	139.58	1444765696.0	380194816.0	3451580416.0	4.51	5389348864.0	234606592.0	761856.0	82.05	248881152.0	219791360.0	226.14	5389348864.0
