Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
unset (reads)	q.summary	59	915	20614	1000	2	0.0003195488732308149
unset (reads)	q.summary	59	915	20614	1000	3	0.0003184266034513712
unset (reads)	q.summary	59	915	20614	1000	4	0.00031937395595014095
unset (reads)	q.summary	59	915	20614	1000	5	0.00031808929517865184
unset (reads)	q.summary	59	915	20614	1000	6	0.0003184645157307386
unset (reads)	q.summary	59	915	20614	1000	7	0.00031919672340154645
unset (reads)	q.summary	59	915	20614	1000	8	0.0003290657103061676
unset (reads)	q.summary	59	915	20614	1000	9	0.0003231275863945484
unset (reads)	q.summary	59	915	20614	1000	10	0.0003171730786561966
unset (reads)	q.isin (distance)	59	915	20614	100	1	0.002270601075142622
unset (reads)	q.isin (distance)	59	915	20614	100	2	0.0022607774287462233
unset (reads)	q.isin (distance)	59	915	20614	100	3	0.0022654148750007154
unset (reads)	q.isin (distance)	59	915	20614	100	4	0.00225112808868289
unset (reads)	q.isin (distance)	59	915	20614	100	5	0.0022535607405006885
unset (reads)	q.isin (distance)	59	915	20614	100	6	0.0022524074092507363
unset (reads)	q.isin (distance)	59	915	20614	100	7	0.0022534403018653394
unset (reads)	q.isin (distance)	59	915	20614	100	8	0.0022520519234240054
unset (reads)	q.isin (distance)	59	915	20614	100	9	0.0022502481192350388
unset (reads)	q.isin (distance)	59	915	20614	100	10	0.0022539993934333324
unset (reads)	q.isin (mrca)	59	915	20614	500	1	0.000848993569612503
unset (reads)	q.isin (mrca)	59	915	20614	500	2	0.0008577027544379234
unset (reads)	q.isin (mrca)	59	915	20614	500	3	0.0008496676236391067
unset (reads)	q.isin (mrca)	59	915	20614	500	4	0.000851235069334507
unset (reads)	q.isin (mrca)	59	915	20614	500	5	0.0008483114540576935
unset (reads)	q.isin (mrca)	59	915	20614	500	6	0.0008481720685958863
unset (reads)	q.isin (mrca)	59	915	20614	500	7	0.0008510950580239296
unset (reads)	q.isin (mrca)	59	915	20614	500	8	0.0008478192016482353
unset (reads)	q.isin (mrca)	59	915	20614	500	9	0.0008477149605751038
unset (reads)	q.isin (mrca)	59	915	20614	500	10	0.0008479028716683387
