Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
unset (assemblies)	q.toframe	59	1350	1426	100	5	0.0029118445888161658
unset (assemblies)	q.toframe	59	1350	1426	100	6	0.0029162983782589436
unset (assemblies)	q.toframe	59	1350	1426	100	7	0.0029145251400768757
unset (assemblies)	q.toframe	59	1350	1426	100	8	0.0029105064645409584
unset (assemblies)	q.toframe	59	1350	1426	100	9	0.0029167109169065952
unset (assemblies)	q.toframe	59	1350	1426	100	10	0.0029118287935853003
unset (assemblies)	q.summary	59	1350	1426	1000	1	0.0003229619711637497
unset (assemblies)	q.summary	59	1350	1426	1000	2	0.00031779407151043417
unset (assemblies)	q.summary	59	1350	1426	1000	3	0.00031745627149939537
unset (assemblies)	q.summary	59	1350	1426	1000	4	0.00032169076427817343
unset (assemblies)	q.summary	59	1350	1426	1000	5	0.000327225673943758
unset (assemblies)	q.summary	59	1350	1426	1000	6	0.0003228186313062906
unset (assemblies)	q.summary	59	1350	1426	1000	7	0.0003179090283811092
unset (assemblies)	q.summary	59	1350	1426	1000	8	0.0003178541902452707
unset (assemblies)	q.summary	59	1350	1426	1000	9	0.0003193507045507431
unset (assemblies)	q.summary	59	1350	1426	1000	10	0.00032134870439767837
unset (assemblies)	q.isin (distance)	59	1350	1426	100	1	0.002453235387802124
unset (assemblies)	q.isin (distance)	59	1350	1426	100	2	0.00245369428768754
unset (assemblies)	q.isin (distance)	59	1350	1426	100	3	0.002450611852109432
unset (assemblies)	q.isin (distance)	59	1350	1426	100	4	0.002451926413923502
unset (assemblies)	q.isin (distance)	59	1350	1426	100	5	0.0024526540748775003
unset (assemblies)	q.isin (distance)	59	1350	1426	100	6	0.0024596789106726647
unset (assemblies)	q.isin (distance)	59	1350	1426	100	7	0.0024521326087415217
unset (assemblies)	q.isin (distance)	59	1350	1426	100	8	0.002459992915391922
unset (assemblies)	q.isin (distance)	59	1350	1426	100	9	0.002462669312953949
unset (assemblies)	q.isin (distance)	59	1350	1426	100	10	0.0024536019563674927
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	1	0.0008576962910592556
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	2	0.000851323176175356
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	3	0.0008492188192903995
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	4	0.0008505746722221374
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	5	0.000848265502601862
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	6	0.0008497313670814037
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	7	0.0008499847874045372
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	8	0.0008495816364884377
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	9	0.0008487842939794064
unset (assemblies)	q.isin (mrca)	59	1350	1426	500	10	0.0008484400101006031
