Name	Iteration	Number samples	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
cov-40 assemblies	1	59	32	10834	105.21	1162084352.0	371728384.0	2082594816.0	5.49	5781356544.0	238096384.0	1064960.0	115.83	241332224.0	224571392.0	226.52999999999997	5781356544.0
cov-40 assemblies	2	59	32	10834	90.26	1231265792.0	373301248.0	2082578432.0	4.97	5777178624.0	237686784.0	1064960.0	78.96	241168384.0	224358400.0	174.19	5777178624.0
cov-40 assemblies	3	59	32	10834	89.65	1226842112.0	364515328.0	2082594816.0	5.5	5769433088.0	238313472.0	1060864.0	71.32	241623040.0	224358400.0	166.47	5769433088.0
