Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-5000	query hasa	1	5000	5743	35646	5.2	230076416.0	230076416.0
case-5000	query hasa	2	5000	5743	35646	4.66	230531072.0	230531072.0
case-5000	query hasa	3	5000	5743	35646	5.5600000000000005	229847040.0	229847040.0
case-5000	query hasa	4	5000	5743	35646	3.2800000000000002	230748160.0	230748160.0
case-5000	query hasa	5	5000	5743	35646	3.05	230420480.0	230420480.0
case-5000	query hasa	6	5000	5743	35646	3.04	230014976.0	230014976.0
case-5000	query hasa	7	5000	5743	35646	3.02	230752256.0	230752256.0
case-5000	query hasa	8	5000	5743	35646	3.04	230088704.0	230088704.0
case-5000	query hasa	9	5000	5743	35646	3.0	230244352.0	230244352.0
case-5000	query hasa	10	5000	5743	35646	3.12	230334464.0	230334464.0
case-5000	query isa	1	5000	5743	35646	2.86	220975104.0	220975104.0
case-5000	query isa	2	5000	5743	35646	2.79	221036544.0	221036544.0
case-5000	query isa	3	5000	5743	35646	2.89	220577792.0	220577792.0
case-5000	query isa	4	5000	5743	35646	2.99	220770304.0	220770304.0
case-5000	query isa	5	5000	5743	35646	5.9399999999999995	220819456.0	220819456.0
case-5000	query isa	6	5000	5743	35646	6.29	237682688.0	220536832.0
case-5000	query isa	7	5000	5743	35646	5.96	221167616.0	221167616.0
case-5000	query isa	8	5000	5743	35646	7.3	237707264.0	221077504.0
case-5000	query isa	9	5000	5743	35646	4.64	221163520.0	221163520.0
case-5000	query isa	10	5000	5743	35646	4.58	221040640.0	221040640.0
case-5000	query --summary	1	5000	5743	35646	3.83	216596480.0	216596480.0
case-5000	query --summary	2	5000	5743	35646	4.22	216543232.0	216543232.0
case-5000	query --summary	3	5000	5743	35646	4.1	216776704.0	216776704.0
case-5000	query --summary	4	5000	5743	35646	3.3	216072192.0	216072192.0
case-5000	query --summary	5	5000	5743	35646	2.85	216997888.0	216997888.0
case-5000	query --summary	6	5000	5743	35646	2.62	216387584.0	216387584.0
case-5000	query --summary	7	5000	5743	35646	2.61	216469504.0	216469504.0
case-5000	query --summary	8	5000	5743	35646	2.62	216133632.0	216133632.0
case-5000	query --summary	9	5000	5743	35646	2.71	216051712.0	216051712.0
case-5000	query --summary	10	5000	5743	35646	2.74	216731648.0	216731648.0
case-5000	query --features-summary	1	5000	5743	35646	2.75	216035328.0	216035328.0
case-5000	query --features-summary	2	5000	5743	35646	2.62	216203264.0	216203264.0
case-5000	query --features-summary	3	5000	5743	35646	2.55	216281088.0	216281088.0
case-5000	query --features-summary	4	5000	5743	35646	2.7	216338432.0	216338432.0
case-5000	query --features-summary	5	5000	5743	35646	3.71	215924736.0	215924736.0
case-5000	query --features-summary	6	5000	5743	35646	6.04	238407680.0	216834048.0
case-5000	query --features-summary	7	5000	5743	35646	5.26	216760320.0	216760320.0
case-5000	query --features-summary	8	5000	5743	35646	5.91	216084480.0	216084480.0
case-5000	query --features-summary	9	5000	5743	35646	5.46	237301760.0	215912448.0
case-5000	query --features-summary	10	5000	5743	35646	4.82	216711168.0	216711168.0
case-5000	list samples	1	5000	5743	35646	5.34	237719552.0	225894400.0
case-5000	list samples	2	5000	5743	35646	3.83	225558528.0	225558528.0
case-5000	list samples	3	5000	5743	35646	4.33	226787328.0	226787328.0
case-5000	list samples	4	5000	5743	35646	4.16	226037760.0	226037760.0
case-5000	list samples	5	5000	5743	35646	3.96	225443840.0	225443840.0
case-5000	list samples	6	5000	5743	35646	2.87	224595968.0	224595968.0
case-5000	list samples	7	5000	5743	35646	2.83	225787904.0	225787904.0
case-5000	list samples	8	5000	5743	35646	2.83	225996800.0	225996800.0
case-5000	list samples	9	5000	5743	35646	2.85	226181120.0	226181120.0
case-5000	list samples	10	5000	5743	35646	2.98	225902592.0	225902592.0
