Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-20000	query hasa	1	20000	15806	45709	3.95	262332416.0	262332416.0
case-20000	query hasa	2	20000	15806	45709	3.55	261246976.0	261246976.0
case-20000	query hasa	3	20000	15806	45709	3.95	262037504.0	262037504.0
case-20000	query hasa	4	20000	15806	45709	3.71	261558272.0	261558272.0
case-20000	query hasa	5	20000	15806	45709	3.52	262066176.0	262066176.0
case-20000	query hasa	6	20000	15806	45709	3.59	261173248.0	261173248.0
case-20000	query hasa	7	20000	15806	45709	3.55	260870144.0	260870144.0
case-20000	query hasa	8	20000	15806	45709	3.83	262746112.0	262746112.0
case-20000	query hasa	9	20000	15806	45709	3.85	261431296.0	261431296.0
case-20000	query hasa	10	20000	15806	45709	3.96	261804032.0	261804032.0
case-20000	query isa	1	20000	15806	45709	2.85	225124352.0	225124352.0
case-20000	query isa	2	20000	15806	45709	2.82	225648640.0	225648640.0
case-20000	query isa	3	20000	15806	45709	2.95	224841728.0	224841728.0
case-20000	query isa	4	20000	15806	45709	2.85	225062912.0	225062912.0
case-20000	query isa	5	20000	15806	45709	2.89	225239040.0	225239040.0
case-20000	query isa	6	20000	15806	45709	2.86	223424512.0	223424512.0
case-20000	query isa	7	20000	15806	45709	2.73	223133696.0	223133696.0
case-20000	query isa	8	20000	15806	45709	2.94	224202752.0	224202752.0
case-20000	query isa	9	20000	15806	45709	2.93	224342016.0	224342016.0
case-20000	query isa	10	20000	15806	45709	2.92	224600064.0	224600064.0
case-20000	query --summary	1	20000	15806	45709	3.25	225296384.0	225296384.0
case-20000	query --summary	2	20000	15806	45709	3.21	225099776.0	225099776.0
case-20000	query --summary	3	20000	15806	45709	3.19	225226752.0	225226752.0
case-20000	query --summary	4	20000	15806	45709	3.06	224251904.0	224251904.0
case-20000	query --summary	5	20000	15806	45709	3.03	225038336.0	225038336.0
case-20000	query --summary	6	20000	15806	45709	3.1	224776192.0	224776192.0
case-20000	query --summary	7	20000	15806	45709	3.18	225116160.0	225116160.0
case-20000	query --summary	8	20000	15806	45709	3.13	224874496.0	224874496.0
case-20000	query --summary	9	20000	15806	45709	3.18	225529856.0	225529856.0
case-20000	query --summary	10	20000	15806	45709	3.11	225456128.0	225456128.0
case-20000	query --features-summary	1	20000	15806	45709	5.02	310378496.0	310378496.0
case-20000	query --features-summary	2	20000	15806	45709	5.23	310296576.0	310296576.0
case-20000	query --features-summary	3	20000	15806	45709	5.04	310591488.0	310591488.0
case-20000	query --features-summary	4	20000	15806	45709	4.95	309768192.0	309768192.0
case-20000	query --features-summary	5	20000	15806	45709	5.08	309579776.0	309579776.0
case-20000	query --features-summary	6	20000	15806	45709	5.05	310251520.0	310251520.0
case-20000	query --features-summary	7	20000	15806	45709	5.09	310067200.0	310067200.0
case-20000	query --features-summary	8	20000	15806	45709	5.04	309645312.0	309645312.0
case-20000	query --features-summary	9	20000	15806	45709	5.15	309858304.0	309858304.0
case-20000	query --features-summary	10	20000	15806	45709	5.08	309706752.0	309706752.0
case-20000	list samples	1	20000	15806	45709	2.99	247156736.0	247156736.0
case-20000	list samples	2	20000	15806	45709	3.31	248164352.0	248164352.0
case-20000	list samples	3	20000	15806	45709	3.34	248455168.0	248455168.0
case-20000	list samples	4	20000	15806	45709	3.15	248320000.0	248320000.0
case-20000	list samples	5	20000	15806	45709	3.4699999999999998	247754752.0	247754752.0
case-20000	list samples	6	20000	15806	45709	3.23	248082432.0	248082432.0
case-20000	list samples	7	20000	15806	45709	3.29	248209408.0	248209408.0
case-20000	list samples	8	20000	15806	45709	3.11	247898112.0	247898112.0
case-20000	list samples	9	20000	15806	45709	3.11	248180736.0	248180736.0
case-20000	list samples	10	20000	15806	45709	3.37	248168448.0	248168448.0
