Name	Kind	Number samples	Number features (no unknown)	Number features (all)	Number executions	Iteration	Time
case-20	db.samples_query	20	61	11560	200	1	0.0011272231675684451
case-20	db.samples_query	20	61	11560	200	2	0.0011138641368597746
case-20	db.samples_query	20	61	11560	200	3	0.0011104519944638014
case-20	db.samples_query	20	61	11560	200	4	0.0011062378063797951
case-20	db.samples_query	20	61	11560	200	5	0.00115245645865798
case-20	db.samples_query	20	61	11560	200	6	0.0011518906988203525
case-20	db.samples_query	20	61	11560	200	7	0.0011136679351329804
case-20	db.samples_query	20	61	11560	200	8	0.0011116853263229132
case-20	db.samples_query	20	61	11560	200	9	0.0011134859547019004
case-20	db.samples_query	20	61	11560	200	10	0.0011116049159318208
case-20	q.join	20	61	11560	1	1	0.24884408712387085
case-20	q.join	20	61	11560	1	2	0.24963652715086937
case-20	q.join	20	61	11560	1	3	0.2514333575963974
case-20	q.join	20	61	11560	1	4	0.24773268774151802
case-20	q.join	20	61	11560	1	5	0.24825450778007507
case-20	q.join	20	61	11560	1	6	0.24906021915376186
case-20	q.join	20	61	11560	1	7	0.24993029423058033
case-20	q.join	20	61	11560	1	8	0.25023201666772366
case-20	q.join	20	61	11560	1	9	0.25028606690466404
case-20	q.join	20	61	11560	1	10	0.24981867149472237
case-20	q.features_summary	20	61	11560	20	1	0.011863127630203963
case-20	q.features_summary	20	61	11560	20	2	0.011868034955114126
case-20	q.features_summary	20	61	11560	20	3	0.011807355377823115
case-20	q.features_summary	20	61	11560	20	4	0.011812705639749765
case-20	q.features_summary	20	61	11560	20	5	0.011726467777043581
case-20	q.features_summary	20	61	11560	20	6	0.011793257296085357
case-20	q.features_summary	20	61	11560	20	7	0.011724450718611478
case-20	q.features_summary	20	61	11560	20	8	0.011693298444151878
case-20	q.features_summary	20	61	11560	20	9	0.011711857374757528
case-20	q.features_summary	20	61	11560	20	10	0.011697152070701123
case-20	q.features_comparison	20	61	11560	20	1	0.017896484397351742
case-20	q.features_comparison	20	61	11560	20	2	0.01788932830095291
case-20	q.features_comparison	20	61	11560	20	3	0.017999420035630466
case-20	q.features_comparison	20	61	11560	20	4	0.017854361422359945
case-20	q.features_comparison	20	61	11560	20	5	0.01787975085899234
case-20	q.features_comparison	20	61	11560	20	6	0.017848657723516227
case-20	q.features_comparison	20	61	11560	20	7	0.017811452411115168
case-20	q.features_comparison	20	61	11560	20	8	0.01781352674588561
case-20	q.features_comparison	20	61	11560	20	9	0.017833808716386557
case-20	q.features_comparison	20	61	11560	20	10	0.01781949484720826
case-20	q.hasa	20	61	11560	20	1	0.009980191197246312
case-20	q.hasa	20	61	11560	20	2	0.009969619754701852
case-20	q.hasa	20	61	11560	20	3	0.00997197227552533
case-20	q.hasa	20	61	11560	20	4	0.009969884995371103
case-20	q.hasa	20	61	11560	20	5	0.009958712011575699
case-20	q.hasa	20	61	11560	20	6	0.009972208179533482
case-20	q.hasa	20	61	11560	20	7	0.009950961079448461
case-20	q.hasa	20	61	11560	20	8	0.009960738103836774
case-20	q.hasa	20	61	11560	20	9	0.009958283230662345
case-20	q.hasa	20	61	11560	20	10	0.00995225114747882
case-20	q.isa	20	61	11560	1000	1	0.0003646933063864708
case-20	q.isa	20	61	11560	1000	2	0.00036279081925749777
case-20	q.isa	20	61	11560	1000	3	0.0003630516938865185
case-20	q.isa	20	61	11560	1000	4	0.00036372424103319644
case-20	q.isa	20	61	11560	1000	5	0.0003628331646323204
case-20	q.isa	20	61	11560	1000	6	0.0003623903803527355
case-20	q.isa	20	61	11560	1000	7	0.0003628719337284565
case-20	q.isa	20	61	11560	1000	8	0.00036305562034249307
case-20	q.isa	20	61	11560	1000	9	0.0003641305565834045
case-20	q.isa	20	61	11560	1000	10	0.0003629405628889799
case-20	q AND r	20	61	11560	10000	1	2.0463624410331248e-05
case-20	q AND r	20	61	11560	10000	2	2.041319441050291e-05
case-20	q AND r	20	61	11560	10000	3	2.0411472767591475e-05
case-20	q AND r	20	61	11560	10000	4	2.0375422947108746e-05
case-20	q AND r	20	61	11560	10000	5	2.062608003616333e-05
case-20	q AND r	20	61	11560	10000	6	2.0448379218578338e-05
case-20	q AND r	20	61	11560	10000	7	2.0309144631028174e-05
case-20	q AND r	20	61	11560	10000	8	2.0302453264594077e-05
