Name	Iteration	Number samples	Number features (all)	Number features (no unknown)	Number cores	Reference length	Analysis runtime	Analysis memory (max)	Analysis memory (max/process)	Analysis disk uage	Index runtime	Index memory (max)	Index memory (max/process)	Index size	Tree runtime	Tree memory (max)	Tree memory (max/process)	Total runtime	Max memory
case-20	1	20	11560	61	32	29903	137.43	1815732224.0	366129152.0	3453374464.0	6.6	5498564608.0	271831040.0	1957888.0	114.02	241582080.0	220491776.0	258.05	5498564608.0
case-20	2	20	11560	61	32	29903	156.56	1670365184.0	371167232.0	3453394944.0	6.83	5496709120.0	267173888.0	1961984.0	118.27	240123904.0	220340224.0	281.66	5496709120.0
case-20	3	20	11560	61	32	29903	138.69	1735946240.0	377712640.0	3453394944.0	6.91	5498388480.0	271179776.0	1957888.0	108.09	241041408.0	220770304.0	253.69	5498388480.0
