Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-20	query hasa	1	20	131	1580	3.16	220991488.0	220991488.0
case-20	query hasa	2	20	131	1580	3.04	220385280.0	220385280.0
case-20	query hasa	3	20	131	1580	2.93	220704768.0	220704768.0
case-20	query hasa	4	20	131	1580	2.87	220504064.0	220504064.0
case-20	query hasa	5	20	131	1580	3.02	220999680.0	220999680.0
case-20	query hasa	6	20	131	1580	3.12	220839936.0	220839936.0
case-20	query hasa	7	20	131	1580	3.01	221220864.0	221220864.0
case-20	query hasa	8	20	131	1580	2.99	220561408.0	220561408.0
case-20	query hasa	9	20	131	1580	3.06	220823552.0	220823552.0
case-20	query hasa	10	20	131	1580	3.03	220405760.0	220405760.0
case-20	query isa	1	20	131	1580	3.01	220008448.0	220008448.0
case-20	query isa	2	20	131	1580	2.86	220319744.0	220319744.0
case-20	query isa	3	20	131	1580	2.98	220528640.0	220528640.0
case-20	query isa	4	20	131	1580	2.9699999999999998	219885568.0	219885568.0
case-20	query isa	5	20	131	1580	2.9699999999999998	220274688.0	220274688.0
case-20	query isa	6	20	131	1580	2.96	220561408.0	220561408.0
case-20	query isa	7	20	131	1580	2.77	220475392.0	220475392.0
case-20	query isa	8	20	131	1580	3.13	220184576.0	220184576.0
case-20	query isa	9	20	131	1580	2.87	220188672.0	220188672.0
case-20	query isa	10	20	131	1580	2.88	220225536.0	220225536.0
case-20	query isin	1	20	131	1580	2.84	220602368.0	220602368.0
case-20	query isin	2	20	131	1580	3.01	220737536.0	220737536.0
case-20	query isin	3	20	131	1580	3.03	220672000.0	220672000.0
case-20	query isin	4	20	131	1580	3.02	220426240.0	220426240.0
case-20	query isin	5	20	131	1580	3.17	220069888.0	220069888.0
case-20	query isin	6	20	131	1580	2.98	220258304.0	220258304.0
case-20	query isin	7	20	131	1580	3.03	220155904.0	220155904.0
case-20	query isin	8	20	131	1580	3.05	220422144.0	220422144.0
case-20	query isin	9	20	131	1580	2.87	220262400.0	220262400.0
case-20	query isin	10	20	131	1580	2.82	220393472.0	220393472.0
case-20	query --summary	1	20	131	1580	2.71	216780800.0	216780800.0
case-20	query --summary	2	20	131	1580	2.75	216289280.0	216289280.0
case-20	query --summary	3	20	131	1580	2.7	216608768.0	216608768.0
case-20	query --summary	4	20	131	1580	2.75	216039424.0	216039424.0
case-20	query --summary	5	20	131	1580	2.77	216616960.0	216616960.0
case-20	query --summary	6	20	131	1580	2.7800000000000002	216256512.0	216256512.0
case-20	query --summary	7	20	131	1580	2.7800000000000002	216690688.0	216690688.0
case-20	query --summary	8	20	131	1580	2.7800000000000002	216322048.0	216322048.0
case-20	query --summary	9	20	131	1580	2.86	216211456.0	216211456.0
case-20	query --summary	10	20	131	1580	2.8	216391680.0	216391680.0
case-20	query --features-summary	1	20	131	1580	2.79	216502272.0	216502272.0
case-20	query --features-summary	2	20	131	1580	2.84	215883776.0	215883776.0
case-20	query --features-summary	3	20	131	1580	2.84	216236032.0	216236032.0
case-20	query --features-summary	4	20	131	1580	4.01	216186880.0	216186880.0
case-20	query --features-summary	5	20	131	1580	4.63	216387584.0	216387584.0
case-20	query --features-summary	6	20	131	1580	4.38	216207360.0	216207360.0
case-20	query --features-summary	7	20	131	1580	4.88	216793088.0	216793088.0
case-20	query --features-summary	8	20	131	1580	5.35	216252416.0	216252416.0
case-20	query --features-summary	9	20	131	1580	4.84	215969792.0	215969792.0
case-20	query --features-summary	10	20	131	1580	3.01	216592384.0	216592384.0
case-20	list samples	1	20	131	1580	3.23	219168768.0	219168768.0
case-20	list samples	2	20	131	1580	3.2800000000000002	219254784.0	219254784.0
case-20	list samples	3	20	131	1580	2.73	219803648.0	219803648.0
case-20	list samples	4	20	131	1580	2.9699999999999998	220041216.0	220041216.0
case-20	list samples	5	20	131	1580	3.5300000000000002	219070464.0	219070464.0
case-20	list samples	6	20	131	1580	3.8	237776896.0	219000832.0
case-20	list samples	7	20	131	1580	4.16	238387200.0	219607040.0
case-20	list samples	8	20	131	1580	3.1	219566080.0	219566080.0
case-20	list samples	9	20	131	1580	4.55	237559808.0	218923008.0
case-20	list samples	10	20	131	1580	4.77	219537408.0	219537408.0
