Name	Kind	Iteration	Number samples	Number features (no unknown)	Number features (all)	Runtime	Memory (max)	Mmemory (max/process)
case-200	query hasa	1	200	1237	26287	3.26	250920960.0	250920960.0
case-200	query hasa	2	200	1237	26287	3.22	251207680.0	251207680.0
case-200	query hasa	3	200	1237	26287	3.06	251359232.0	251359232.0
case-200	query hasa	4	200	1237	26287	2.99	251170816.0	251170816.0
case-200	query hasa	5	200	1237	26287	3.12	250421248.0	250421248.0
case-200	query hasa	6	200	1237	26287	2.95	250908672.0	250908672.0
case-200	query hasa	7	200	1237	26287	3.13	250802176.0	250802176.0
case-200	query hasa	8	200	1237	26287	3.2	251052032.0	251052032.0
case-200	query hasa	9	200	1237	26287	3.11	250777600.0	250777600.0
case-200	query hasa	10	200	1237	26287	3.22	251109376.0	251109376.0
case-200	query isa	1	200	1237	26287	3.12	247926784.0	247926784.0
case-200	query isa	2	200	1237	26287	3.08	248610816.0	248610816.0
case-200	query isa	3	200	1237	26287	2.96	248311808.0	248311808.0
case-200	query isa	4	200	1237	26287	3.24	249454592.0	249454592.0
case-200	query isa	5	200	1237	26287	3.14	248020992.0	248020992.0
case-200	query isa	6	200	1237	26287	2.93	248033280.0	248033280.0
case-200	query isa	7	200	1237	26287	2.94	248344576.0	248344576.0
case-200	query isa	8	200	1237	26287	3.05	248098816.0	248098816.0
case-200	query isa	9	200	1237	26287	3.11	247762944.0	247762944.0
case-200	query isa	10	200	1237	26287	3.06	247869440.0	247869440.0
case-200	query --summary	1	200	1237	26287	2.98	250671104.0	250671104.0
case-200	query --summary	2	200	1237	26287	3.08	250777600.0	250777600.0
case-200	query --summary	3	200	1237	26287	3.1	250212352.0	250212352.0
case-200	query --summary	4	200	1237	26287	3.02	250408960.0	250408960.0
case-200	query --summary	5	200	1237	26287	3.16	250097664.0	250097664.0
case-200	query --summary	6	200	1237	26287	3.04	250318848.0	250318848.0
case-200	query --summary	7	200	1237	26287	3.26	250937344.0	250937344.0
case-200	query --summary	8	200	1237	26287	2.96	250339328.0	250339328.0
case-200	query --summary	9	200	1237	26287	2.98	251990016.0	251990016.0
case-200	query --summary	10	200	1237	26287	3.19	249864192.0	249864192.0
case-200	query --features-summary	1	200	1237	26287	3.23	258551808.0	258551808.0
case-200	query --features-summary	2	200	1237	26287	3.14	258445312.0	258445312.0
case-200	query --features-summary	3	200	1237	26287	3.32	258039808.0	258039808.0
case-200	query --features-summary	4	200	1237	26287	3.05	258629632.0	258629632.0
case-200	query --features-summary	5	200	1237	26287	3.26	258625536.0	258625536.0
case-200	query --features-summary	6	200	1237	26287	3.29	258691072.0	258691072.0
case-200	query --features-summary	7	200	1237	26287	3.31	258375680.0	258375680.0
case-200	query --features-summary	8	200	1237	26287	3.34	258342912.0	258342912.0
case-200	query --features-summary	9	200	1237	26287	3.49	258441216.0	258441216.0
case-200	query --features-summary	10	200	1237	26287	3.29	258404352.0	258404352.0
case-200	list samples	1	200	1237	26287	3.19	247582720.0	247582720.0
case-200	list samples	2	200	1237	26287	3.12	247705600.0	247705600.0
case-200	list samples	3	200	1237	26287	3.07	247508992.0	247508992.0
case-200	list samples	4	200	1237	26287	3.1	247463936.0	247463936.0
case-200	list samples	5	200	1237	26287	2.95	248246272.0	248246272.0
case-200	list samples	6	200	1237	26287	3.01	248016896.0	248016896.0
case-200	list samples	7	200	1237	26287	3.15	247803904.0	247803904.0
case-200	list samples	8	200	1237	26287	3.2	247885824.0	247885824.0
case-200	list samples	9	200	1237	26287	3.09	248344576.0	248344576.0
case-200	list samples	10	200	1237	26287	2.9699999999999998	247590912.0	247590912.0
case-200	query isin	1	200	1237	26287	3.15	248139776.0	248139776.0
case-200	query isin	2	200	1237	26287	2.95	248565760.0	248565760.0
case-200	query isin	3	200	1237	26287	3.3	251506688.0	251506688.0
case-200	query isin	4	200	1237	26287	3.14	248635392.0	248635392.0
case-200	query isin	5	200	1237	26287	3.09	248606720.0	248606720.0
case-200	query isin	6	200	1237	26287	3.11	248799232.0	248799232.0
case-200	query isin	7	200	1237	26287	3.07	248659968.0	248659968.0
case-200	query isin	8	200	1237	26287	3.26	248360960.0	248360960.0
case-200	query isin	9	200	1237	26287	3.05	249794560.0	249794560.0
case-200	query isin	10	200	1237	26287	3.21	248672256.0	248672256.0
