Name	True Positives	True Negatives	False Positives	False Negatives	Sensitivity	Specificity	Precision	F1 Score
alpha-2.0-cov-30 reads	44054		15910	40862	0.5187950445145791	~1 (not calculated)	0.734674137816023	0.6081446714522364
alpha-2.0-cov-30 assemblies	1395		0	83521	0.016427999434735503	~1 (not calculated)	1.0	0.03232496437302314
